Shape__Length,X,Y,'prediction margin','predicted completionTime',completionTime
1590.882815,172.861803,-40.881495,-0.000303,1_hr,?
1067.392715,170.029953,-43.489913,-0.000303,1_hr,?
347.853214,170.029211,-43.492498,-0.000303,1_hr,?
11140.05051,168.145,-44.80218,-0.000303,1_hr,?
4833.243419,168.126726,-44.818123,-0.000303,1_hr,?
3195.585901,168.119366,-44.816882,-0.000303,1_hr,?
4288.635758,171.530181,-43.546471,-0.000303,1_hr,?
2525.43211,175.854252,-37.613448,-0.000343,1_hr,?
227.28721,170.168012,-43.424834,-0.000303,1_hr,?
2355.609303,174.415247,-35.678533,-0.000356,1_hr,?
2104.215157,175.961235,-38.697811,-0.000343,1_hr,?
4307.521735,170.175116,-46.041602,-0.000303,1_hr,?
28176.66192,171.443393,-42.849924,-0.000316,1_hr,?
941.320741,174.979872,-38.072686,-0.000343,1_hr,?
2444.081838,168.720757,-45.319567,-0.000303,1_hr,?
200.304806,176.215495,-38.401156,-0.000343,1_hr,?
3217.853171,178.040014,-38.640642,-0.000343,1_hr,?
3619.160677,175.192925,-38.951588,-0.000343,1_hr,?
12092.28809,175.829158,-37.601234,-0.000343,1_hr,?
3527.871843,176.316866,-38.188637,-0.000343,1_hr,?
11208.485,172.345614,-42.551437,-0.000316,1_hr,?
811.209813,170.455389,-45.920678,-0.000303,1_hr,?
5277.158666,173.721732,-35.022982,-0.000356,1_hr,?
8363.090536,174.062191,-41.52288,-0.000316,1_hr,?
2358.053015,174.133563,-35.887947,-0.000356,1_hr,?
878.072282,175.061885,-37.293299,-0.000356,1_hr,?
3351.968953,174.281651,-35.253694,-0.000356,1_hr,?
5185.441629,174.164199,-39.291894,-0.000343,1_hr,?
