@relation Challenge-AB-Data12-Test-weka.filters.unsupervised.attribute.Remove-R1-2-weka.filters.unsupervised.attribute.Remove-R2

@attribute Shape__Length numeric
@attribute Y numeric
@attribute completionTime numeric

@data
2351.410813,-36.744436,105
3408.967142,-43.852168,105
10550.88909,-41.349277,105
4084.883551,-36.361346,105
3764.403177,-37.797371,105
4520.67917,-40.902876,105
2784.630441,-45.063077,105
3786.092783,-35.508721,105
3499.480565,-39.31797,105
3105.242282,-41.333022,105
2529.837539,-36.307139,105
2453.599699,-39.956022,105
1887.201153,-39.274488,105
1929.69533,-36.833353,105
1456.714926,-40.90463,105
3107.470063,-44.666907,105
1499.878123,-36.758047,105
2847.839102,-45.055855,105
573.315182,-45.893582,105
4331.692699,-35.44561,105
1747.25978,-35.928459,105
4014.430804,-39.985991,105
8080.601307,-35.746185,105
5309.244224,-36.735994,105
4991.564867,-44.715347,100
3569.134806,-42.897841,105
3432.070434,-37.317907,105
5227.425548,-42.38512,105
6113.189223,-36.45021,105
587.172263,-35.892819,65
3808.872839,-34.997925,110
2306.367613,-44.378172,60
4399.801591,-37.427996,60
1243.332956,-44.64319,60
2102.553963,-44.626514,60
2717.697436,-34.994486,60
2527.673089,-36.827561,60
7121.889574,-35.194784,60
2925.594244,-36.167392,60
2688.623341,-44.369277,60
1841.243254,-43.698027,60
753.804929,-44.164198,60
329.691574,-45.463651,60
1466.475232,-43.905564,60
663.448476,-42.935233,60
1415.750173,-43.489835,60
1409.032307,-43.147213,60
970.70192,-37.662708,60
4257.113084,-43.184036,90
8349.120626,-41.567918,60
22504.97753,-42.289944,2160
22265.33349,-37.382692,2160
8541.816468,-38.792168,2160
4937.509983,-38.343942,2160
2679.396934,-45.073051,90
1524.476394,-42.864929,90
4724.552232,-45.420796,120
8815.516167,-39.178125,2160
14190.83666,-43.224526,2160
847.945008,-45.574698,105
1653.258903,-34.821654,90
1591.144955,-38.672906,90
4406.891394,-45.79223,90
2606.857454,-42.379685,90
1742.938067,-38.124013,90
20736.32701,-44.341489,660
228.156586,-45.121842,15
11355.99745,-41.34014,600
15823.86251,-46.104265,600
15138.02442,-46.12135,600
14098.2837,-35.532083,600
384.148629,-45.346313,10
4344.599678,-46.555003,65
379.285702,-34.428065,10
586.56089,-35.609472,10
594.717484,-40.926076,10
599.219641,-40.553064,10
59.100195,-35.234824,10
208.282912,-34.967306,10
225.475259,-42.647555,10
143.563654,-41.255969,10
183.425736,-45.029872,10
276.577581,-42.244223,10
116.099977,-39.647959,10
718.069786,-46.001617,10
741.214239,-45.430106,10
4115.832717,-41.205181,35
10599.10816,-42.094203,65
2700.667084,-42.791258,20
20367.52221,-41.368748,275
2865.77364,-38.658928,65
6771.845557,-38.628673,65
1426.186743,-40.646553,15
757.870597,-37.907699,15
3044.91772,-36.175811,95
7210.901524,-43.481082,60
3102.162016,-41.267705,70
570.601339,-42.215284,10
246.126518,-35.214249,10
452.642071,-41.032832,10
198.785612,-35.673319,10
348.833726,-35.284448,10
81.690257,-35.715147,10
137.869322,-38.175303,10
21858.26064,-44.722126,630
15365.14878,-44.463917,690
21310.19161,-40.881012,720
20543.11825,-41.318675,720
22946.86094,-35.571016,720
10707.33554,-38.460052,840
1500.968132,-46.579576,23
274.102216,-44.935836,15
176.019142,-41.795853,15
631.219432,-39.913177,15
609.422979,-42.955987,15
265.195776,-36.101686,15
285.833325,-35.19879,15
310.083959,-35.231833,15
514.51369,-35.254812,15
672.52097,-38.648026,15
1362.962096,-36.720969,15
405.583912,-41.189484,35
1004.34956,-38.596339,35
15962.11912,-37.800157,15
532.198482,-35.535505,15
432.05117,-35.243857,15
221.775843,-38.39478,15
879.934023,-40.339706,23
1306.951378,-35.191977,23
445.51052,-39.306651,23
9112.758816,-44.551721,95
5355.20372,-40.854566,110
31680.65758,-43.095396,2169
34817.02606,-44.358808,2169
50184.49056,-39.207301,2169
23692.26536,-42.884004,2169
24114.61161,-38.413661,2169
20785.82955,-39.263676,2169
27235.40859,-42.877332,2169
14357.25272,-39.008664,150
2456.580522,-40.113454,150
7182.795558,-44.979611,150
4897.245761,-45.004504,150
2161.883617,-40.18708,150
4191.582229,-39.897251,150
5253.591486,-39.792327,150
3406.462739,-39.072149,150
7085.177978,-37.975785,150
7347.547056,-37.868981,150
7281.561448,-35.882995,150
7260.622087,-39.669321,150
4047.873045,-39.627293,150
6037.848708,-42.263274,150
9829.441473,-35.868631,150
10064.11416,-44.851525,150
1691.394418,-45.469043,150
3539.196513,-38.070711,150
3647.234821,-44.433313,150
42031.77798,-42.858702,4320
78581.5092,-39.031802,4320
3084.982809,-44.824082,180
344.817084,-45.066755,180
2596.396968,-41.44828,180
11802.6525,-42.944997,2880
9187.601994,-43.192033,2880
45975.23511,-44.528134,2880
15289.57149,-43.000999,2880
40630.72832,-42.993007,2880
18463.47308,-41.233546,2880
6119.335294,-43.244978,2880
31941.65681,-43.607106,2880
23834.83814,-41.481157,2880
22819.93446,-41.546497,2880
13088.74151,-39.899844,2880
25501.85756,-41.192383,2880
28176.66192,-42.849924,2880
22622.30352,-43.075223,2880
21580.57956,-35.230123,2880
34560.65175,-43.656887,2880
3584.226633,-42.921434,160
4049.057185,-38.231307,120
4300.234973,-41.074119,120
2078.316122,-44.834635,120
3580.668925,-36.847482,120
4238.058524,-45.766098,120
3202.751831,-38.73385,120
6753.046451,-44.206423,120
5354.836152,-38.186315,120
3995.522639,-35.473205,120
1737.533055,-35.511789,120
1823.821482,-35.820988,120
5618.762537,-36.477376,120
4208.456849,-38.992728,120
4960.77004,-38.791853,120
604.359229,-38.79588,120
11635.69132,-35.235466,120
2443.805508,-38.981836,120
4748.687539,-39.023058,120
4288.635758,-43.546471,120
2355.609303,-35.678533,120
4307.521735,-46.041602,120
5062.101945,-38.174108,120
4670.149993,-38.207934,120
3681.260924,-43.408538,120
3619.160677,-38.951588,120
402.240416,-45.900978,120
2294.349824,-35.253707,120
5277.158666,-35.022982,120
2474.314319,-40.725553,120
6626.440976,-42.783596,130
15920.06939,-38.638305,140
10853.43685,-41.129359,240
4459.970105,-43.482819,140
2358.053015,-35.887947,150
2396.203775,-38.382781,150
2132.356864,-45.806186,150
3752.150139,-39.125763,150
2992.429545,-38.984819,150
6927.602538,-38.468699,150
5031.789263,-35.237016,150
5643.699667,-38.239478,150
4491.041302,-41.885593,150
2781.15302,-39.841008,150
10403.13337,-39.541521,150
9261.72863,-41.609507,150
4192.740278,-36.169584,150
5605.521042,-43.627924,150
15683.91079,-41.323389,150
10455.38192,-41.158644,150
2946.382344,-38.279664,150
3284.209167,-43.63237,150
5209.607188,-35.30662,150
6461.33931,-41.836658,150
6293.218419,-45.875232,150
4555.813693,-37.932458,150
5244.575845,-35.452395,150
2458.612226,-37.026124,150
7163.281,-43.0411,165
1402.645063,-41.353807,120
2038.63973,-44.412967,120
5998.892634,-37.781054,120
4821.924975,-41.341924,120
6840.040329,-41.106955,120
4005.274464,-35.538663,120
6236.236658,-38.149268,120
3294.148978,-35.557013,120
10389.30038,-44.540626,120
7337.96206,-45.040664,120
5812.7438,-36.806389,120
1530.708022,-36.231805,120
1410.206518,-36.240682,120
1041.256098,-45.470196,120
1721.1847,-42.801985,7.5
11708.9933,-43.821644,150
19518.41279,-44.24949,180
10856.86009,-37.547662,120
34534.85086,-41.853425,3600
21512.77157,-41.531178,3600
41684.30391,-36.212791,3600
26050.82296,-41.578603,3600
29384.06784,-42.931492,3600
24199.29326,-42.08878,3600
45555.45858,-42.483895,3600
13722.50858,-43.044116,3600
30498.60967,-38.714963,3600
9080.546386,-39.839548,3600
27674.29598,-43.71553,3600
4142.722385,-40.149567,150
5785.583899,-39.488808,150
6589.686604,-36.081098,150
15933.36448,-44.122941,150
3741.219226,-36.842507,150
4595.580285,-35.763588,150
34292.53523,-44.760314,150
6391.746569,-45.054918,150
5170.154511,-39.294086,150
4875.397827,-45.141192,150
3438.489096,-42.62704,150
4525.194931,-35.20065,150
4036.884872,-35.221681,150
1669.669622,-35.530217,150
9613.075863,-45.46797,150
13992.94903,-43.806246,2880
643.27841,-38.078972,25
2298.781026,-37.773522,35
704.500823,-42.379524,20
1162.419368,-38.248426,20
417.154485,-43.799643,20
1252.186524,-40.081266,20
379.806838,-37.870343,20
1465.692306,-39.919087,20
1016.771432,-41.690615,20
851.956243,-35.218832,20
338.651466,-44.806976,20
859.172062,-38.260264,20
372.077664,-38.260527,20
100.49515,-44.672785,20
448.418346,-43.468848,20
414.713412,-38.934073,20
587.950289,-44.983279,20
975.848555,-42.115168,20
516.548047,-46.51767,20
465.34858,-34.72311,20
227.28721,-43.424834,20
89.895016,-36.989997,20
421.040669,-44.721436,20
579.074349,-38.967902,20
259.749932,-43.160405,20
891.939606,-35.587617,20
347.853214,-43.492498,20
1583.815385,-39.964676,20
3597.770111,-42.401569,20
6067.516674,-43.986884,20
11768.40212,-36.599845,20
5603.080693,-43.229003,20
11381.3241,-39.222008,20
2280.081638,-39.151577,20
6431.935,-45.073321,20
574.409899,-38.990582,20
832.271382,-38.26222,20
957.953172,-38.044985,20
798.280113,-38.159507,20
1256.537599,-35.608515,20
291.435803,-36.058133,20
1216.877778,-44.698519,20
1093.34753,-36.833084,20
471.474277,-45.781449,20
2082.121385,-37.825896,20
3581.129057,-41.802485,102.5
878.072282,-37.293299,25
10378.44922,-37.861967,100
55576.36053,-44.775114,540
4608.746253,-36.182334,200
15603.60735,-45.469489,200
6859.124305,-45.580147,200
64118.81657,-44.21126,5040
31289.93639,-42.887466,5040
46597.11962,-38.752476,5040
41029.96064,-42.894248,5040
32435.53602,-44.776573,5040
15212.89282,-43.77832,210
3222.734944,-39.165391,210
4056.553751,-39.814145,210
9388.04336,-38.945391,210
5858.550632,-37.814006,210
2797.662231,-44.274018,210
11352.3479,-38.709368,210
3419.141567,-37.735574,210
5073.265649,-38.009935,210
8626.428334,-45.036238,210
6992.850742,-39.300592,210
5626.008929,-38.170406,210
64698.66557,-40.865111,210
35089.00364,-39.340627,210
8425.969103,-40.324942,210
5804.666811,-44.178803,210
5202.24658,-40.875918,210
33217.85311,-43.823288,4320
46258.31634,-40.983707,4320
45641.02679,-46.184771,4320
41613.64225,-40.912858,4320
17462.07339,-39.990731,4320
44224.98397,-38.709237,4320
4102.527376,-39.754815,4320
19733.6682,-39.926985,4320
16551.33118,-39.939897,4320
40119.91518,-40.974617,4320
25306.53165,-46.873639,4320
45641.02679,-46.184771,4320
29930.0888,-43.623806,4320
28489.1932,-43.220237,4320
45410.00684,-43.348805,4320
6103.025764,-37.464687,180
6444.065441,-44.611659,180
6032.525777,-34.829147,180
1799.642283,-37.663555,180
2252.231112,-44.727909,180
17562.7012,-34.453403,180
7945.422393,-42.32432,180
6615.106948,-36.066838,180
6844.789438,-40.859313,180
6381.780252,-36.619453,180
1873.107038,-45.844638,180
4833.243419,-44.818123,180
3195.585901,-44.816882,180
3632.311888,-34.429123,180
7395.488266,-38.177059,180
3217.853171,-38.640642,180
25573.05377,-34.479261,180
11208.485,-42.551437,180
8363.090536,-41.52288,180
5185.441629,-39.291894,180
7757.580872,-41.071428,210
4694.175046,-45.815645,210
6755.041061,-37.274618,210
9343.511162,-42.773123,210
3965.725559,-39.720375,210
7876.351051,-41.203382,210
7091.349772,-40.903385,210
9121.186234,-41.173324,210
4562.345007,-35.882505,210
3306.388705,-35.880497,210
4206.429489,-44.217976,210
5487.000645,-40.752098,180
4112.017564,-44.12643,180
15835.97455,-43.926994,180
4627.250988,-41.182245,180
5896.98807,-43.633089,180
3033.862384,-35.750773,180
5697.872517,-43.135939,180
5878.248156,-45.758812,180
4905.811063,-43.719062,180
6748.889579,-39.2789,180
1151.120832,-45.478922,180
2849.757728,-35.848761,180
3039.152668,-43.317707,180
2338.225179,-44.906264,180
4330.657313,-44.894573,180
5345.122932,-41.167121,180
7882.276376,-37.846606,180
18282.31643,-45.80335,180
60211.4503,-45.451472,5040
9080.546386,-39.839548,5040
47147.35256,-34.457326,5040
42616.78164,-42.947594,5040
45479.92851,-39.145811,5040
17522.26612,-45.02085,5040
32189.20895,-43.105688,5040
10106.14908,-45.083619,210
4930.748322,-43.508761,210
8296.727692,-38.278097,210
50620.79428,-40.92487,210
65134.84337,-41.196532,210
7094.916432,-41.146908,210
20104.45271,-44.437913,210
5324.4391,-44.494151,210
2711.532018,-45.801109,210
2249.252265,-38.910774,40
914.840154,-44.439785,30
608.574408,-44.671518,30
14964.48335,-46.059176,30
710.599218,-39.93176,30
494.696087,-44.405622,30
5469.349914,-41.348952,30
1350.7861,-35.259699,30
552.552702,-44.695017,30
1117.042356,-41.063015,30
2108.03821,-40.811151,30
993.345742,-38.457651,30
565.430542,-46.504055,30
1141.356448,-37.862099,30
590.252202,-43.484636,30
739.866102,-38.922318,30
589.537909,-38.664463,30
719.681471,-35.239921,30
487.723217,-43.248793,30
1106.282421,-44.994596,30
1424.112756,-35.453044,30
409.910677,-41.352884,30
779.299534,-43.392953,30
740.686476,-38.182863,30
316.659793,-36.720936,30
475.368881,-36.979007,30
285.522422,-38.012622,30
751.362302,-43.15245,30
5128.947229,-38.761418,30
616.800351,-38.118776,30
1155.619453,-39.286173,30
1546.008173,-44.363869,30
12591.30799,-36.158891,30
169.014441,-46.607301,30
1377.753308,-36.524916,30
1219.94637,-37.682162,30
744.428672,-41.095483,30
1506.17244,-43.545961,30
751.294505,-43.626941,30
1394.428578,-38.010832,30
1931.956641,-40.887197,30
665.076063,-35.048392,30
8068.935535,-35.794549,30
3358.733709,-45.400478,30
4305.382387,-38.765627,30
5060.519948,-45.246475,30
622.142677,-45.866411,30
1023.483485,-40.877868,30
1196.371604,-45.816047,30
523.218317,-40.900828,30
368.775096,-41.259483,30
386.158043,-35.319954,30
70.688113,-36.83206,30
804.246344,-40.76967,30
4692.15523,-44.870071,30
3177.238835,-39.858388,30
92893.99727,-39.272137,6480
56862.51275,-44.517842,6480
26891.52866,-41.941561,6480
64823.67753,-42.278661,6480
65134.84337,-41.196532,6480
45151.34487,-42.949539,6480
43559.08022,-42.984627,6480
2966.500096,-45.74513,270
9922.033971,-37.055344,270
4720.027796,-37.631957,270
7943.397617,-39.948008,270
5976.806982,-39.090081,270
15898.97454,-43.872603,270
10414.32102,-39.215136,270
5731.120804,-44.176629,270
12280.30351,-41.09025,270
6795.572896,-41.18144,270
71926.56678,-40.886449,7200
70247.81711,-39.290129,7200
57976.85323,-41.405752,7200
85782.09269,-46.957926,7200
10723.18039,-44.818458,300
7228.876914,-44.912381,300
8407.944413,-44.90708,300
8606.679683,-44.661294,300
8877.984689,-44.950084,300
5073.265649,-38.009935,300
8617.298125,-44.632884,300
84545.6959,-41.916447,7920
64475.79228,-44.880563,5760
29961.84823,-45.023962,5760
53855.50795,-44.813536,5760
18119.66698,-39.700159,5760
5020.465194,-37.517284,240
15962.11912,-37.800157,240
4499.005844,-37.503661,240
2505.452773,-38.681779,240
7506.947907,-37.463674,240
7240.026853,-45.062914,240
10076.01077,-42.842884,240
3330.867075,-45.137258,240
11751.04192,-42.265246,240
2558.600217,-44.804848,240
12327.64082,-39.521372,240
9472.036487,-35.565968,240
8639.90388,-38.697279,240
48400.79337,-43.53639,240
8241.54867,-45.918746,270
6373.731502,-34.508234,270
11099.87703,-38.868387,270
21303.13408,-34.489888,270
22119.96399,-38.685913,270
4832.004755,-42.199905,270
11431.99364,-39.375137,270
6546.7839,-43.719166,240
16597.71381,-43.999231,240
8787.832964,-37.506957,240
3075.526539,-45.984107,240
6285.486002,-41.065776,240
4521.378161,-37.987406,240
9926.516904,-39.3315,240
70946.0483,-42.700458,6480
84653.26536,-44.693572,6480
6300.462291,-39.042418,270
13122.5973,-43.07628,270
22545.15703,-45.591376,270
4295.590365,-44.756756,300
5157.016486,-40.167147,300
26952.75935,-45.602938,300
8630.909856,-43.253408,300
15536.58578,-43.183109,300
14868.58282,-43.17518,300
8336.147289,-43.896187,300
5926.838445,-37.606744,45
3332.445698,-45.57107,50
1368.376805,-43.793289,40
1807.070041,-35.168355,40
2028.361376,-41.257577,40
1005.548485,-46.5716,40
1067.392715,-43.489913,40
2476.067212,-34.989664,40
1520.582841,-35.720947,40
3646.434771,-46.564246,40
7011.897881,-41.733391,40
7792.587138,-40.882574,40
1183.018317,-39.431491,40
2244.825728,-37.609306,40
1042.931191,-36.361774,40
1345.922763,-36.84126,40
1532.179283,-45.775989,40
1735.127961,-45.991931,40
484.783467,-36.69919,40
3482.189873,-35.131336,45
1986.44383,-38.639828,45
955.570483,-45.639454,45
1283.266501,-44.893674,45
512.828967,-45.200974,45
207.061535,-45.73544,45
650.364047,-46.054188,45
2174.668886,-41.049752,45
1693.526664,-39.103996,45
1030.501749,-38.265829,45
4269.919687,-34.445827,45
2123.484631,-35.21557,45
892.519195,-42.553648,45
1100.646989,-45.543042,45
23132.58858,-42.297216,45
5759.623173,-36.208121,45
2709.911463,-44.775691,45
592.948933,-35.013562,45
2612.022193,-40.944221,45
1131.947017,-37.949059,45
1190.301175,-41.349889,45
1816.320526,-39.548584,45
462.922717,-38.816131,45
2658.043846,-43.896482,45
3105.662733,-38.908394,45
8559.994843,-37.418859,45
385.910448,-45.747309,45
1408.041126,-36.270877,45
1100.994072,-44.673502,45
1777.598835,-44.087045,7.5
7310.658091,-44.036206,340
3531.871516,-44.913323,330
8305.9267,-41.346597,330
74534.37081,-37.648575,8640
19048.16548,-44.495988,360
5799.115878,-40.05338,360
7343.304934,-38.783183,360
5406.865769,-40.843958,360
4877.293726,-40.896882,360
62923.73138,-42.391936,7200
13650.04875,-36.20442,300
7033.466636,-42.426674,300
9720.53566,-44.945739,300
9743.614004,-37.537496,300
2525.43211,-37.613448,300
12092.28809,-37.601234,300
3196.471981,-44.66526,300
11591.71309,-35.216975,300
13638.73984,-41.349568,300
3739.400915,-43.432164,320
15362.99521,-42.298949,330
5442.775039,-38.884758,330
17562.7012,-34.453403,330
14470.68136,-44.464451,330
4133.65996,-42.396629,330
7858.156653,-37.971362,330
7933.766109,-41.474801,330
10601.79703,-43.160646,300
4194.092809,-44.744398,300
18213.47197,-43.653471,300
9481.501485,-37.261166,300
5057.79235,-43.632116,300
7930.135037,-40.839063,300
8800.802075,-39.639904,300
5487.9848,-35.523382,300
7458.636545,-41.827155,300
4169.537548,-41.818772,300
7946.474761,-41.844048,300
3609.945148,-44.235035,300
253.340026,-45.874304,5
524.689008,-34.827235,5
151.515708,-38.255394,5
139.071821,-36.06467,5
200.304806,-38.401156,5
10258.28091,-37.104372,5
4774.986697,-42.428536,5
253.663449,-35.53639,5
851.956243,-35.218832,5
125.59567,-35.600637,5
169.623794,-38.830248,5
1291.993521,-39.325001,5
18049.86014,-39.302114,330
6928.415975,-44.67339,330
13848.59773,-38.22316,330
6361.725227,-35.839098,330
2477.083467,-44.776229,330
32787.71623,-40.94437,8640
10578.06316,-44.137355,360
3648.522208,-44.763385,360
7664.465309,-41.597229,360
4256.800389,-39.314412,360
3455.563327,-45.438016,50
3070.054227,-36.777342,50
320.913806,-35.893382,55
18192.86097,-44.713347,360
18298.43003,-38.157855,360
9004.641979,-45.720591,420
19457.4311,-44.34282,420
12250.87705,-39.727109,420
5676.3247,-42.936471,420
12051.86045,-44.45757,420
4713.889658,-44.512777,420
32332.08177,-44.24853,420
17335.07773,-38.224234,420
2721.120865,-44.084268,420
125082.131,-41.316558,10800
19109.83003,-36.070991,360
11147.90657,-37.760512,360
11140.05051,-44.80218,360
13195.61637,-38.730047,360
2602.203777,-44.511619,360
16096.67815,-42.378199,360
12345.70847,-36.215681,360
16301.71772,-44.464451,360
16454.82476,-42.236041,360
8915.38282,-38.922361,360
16480.86178,-44.185669,360
8529.46922,-41.128209,360
7607.803483,-37.938631,360
9030.798372,-38.414508,360
18841.85081,-41.325223,360
2302.309487,-44.341021,420
4847.137714,-42.784279,360
10095.85507,-40.917285,420
25292.67914,-44.341691,450
38885.85769,-43.964402,450
9380.188402,-45.295806,420
3501.13849,-42.814481,420
13865.22966,-37.59111,420
19522.30502,-38.105901,420
13629.42119,-37.643284,450
12034.49501,-38.908761,450
18647.10391,-39.235814,450
15595.85971,-43.610281,420
11737.91407,-36.345696,420
1925.027227,-37.912848,420
16519.88997,-36.496528,420
20540.72752,-41.428149,420
8536.291096,-41.297614,420
17673.36408,-41.842122,420
19096.69508,-39.144497,420
12865.57732,-39.327664,420
11422.09776,-39.995559,540
6282.255202,-39.77319,540
4761.84375,-44.459488,540
17401.63,-44.474612,540
3131.196416,-44.62401,540
8048.44482,-44.710914,540
8075.612675,-36.095533,540
8045.104635,-40.856753,540
7570.157857,-43.41486,480
4395.838145,-35.185072,480
10301.39398,-44.936069,480
4895.490784,-45.066618,480
18033.94445,-38.975784,480
10767.32762,-43.240606,480
11422.56164,-38.470915,480
3425.299664,-43.490873,480
23572.05438,-43.621973,480
7433.465484,-38.430299,480
11762.16636,-41.425915,480
7977.655449,-41.463808,480
62747.805,-45.674902,12960
12956.8928,-45.407401,540
12388.4671,-44.846472,540
4542.668223,-44.688776,540
8198.174005,-40.640089,540
119965.7442,-46.867313,540
15846.51441,-46.026506,540
14533.15561,-40.893781,540
19079.71901,-45.77403,540
18031.48081,-35.209319,540
24559.71717,-41.168818,540
3322.526724,-41.08683,720
13177.35796,-46.438751,2160
1945.604475,-36.807931,60
11587.27367,-38.863122,480
27068.09638,-44.029851,540
