@relation Challenge-AB-Data12-Test-weka.filters.unsupervised.attribute.Remove-R1-2-weka.filters.unsupervised.attribute.Remove-R2-weka.filters.unsupervised.attribute.Remove-R2

@attribute Shape__Length numeric
@attribute completionTime numeric

@data
718.069786,10
741.214239,10
4115.832717,35
10599.10816,65
2700.667084,20
20367.52221,275
2865.77364,65
6771.845557,65
1426.186743,15
757.870597,15
3044.91772,95
7210.901524,60
3102.162016,70
570.601339,10
246.126518,10
452.642071,10
198.785612,10
348.833726,10
81.690257,10
137.869322,10
21858.26064,630
15365.14878,690
21310.19161,720
20543.11825,720
22946.86094,720
10707.33554,840
1500.968132,23
274.102216,15
176.019142,15
631.219432,15
609.422979,15
265.195776,15
285.833325,15
310.083959,15
514.51369,15
672.52097,15
1362.962096,15
405.583912,35
1004.34956,35
15962.11912,15
532.198482,15
432.05117,15
221.775843,15
879.934023,23
1306.951378,23
445.51052,23
9112.758816,95
5355.20372,110
31680.65758,2169
34817.02606,2169
50184.49056,2169
23692.26536,2169
24114.61161,2169
20785.82955,2169
27235.40859,2169
14357.25272,150
2456.580522,150
7182.795558,150
4897.245761,150
2161.883617,150
4191.582229,150
5253.591486,150
3406.462739,150
7085.177978,150
7347.547056,150
7281.561448,150
7260.622087,150
4047.873045,150
6037.848708,150
9829.441473,150
10064.11416,150
1691.394418,150
3539.196513,150
3647.234821,150
42031.77798,4320
78581.5092,4320
3084.982809,180
344.817084,180
2596.396968,180
11802.6525,2880
9187.601994,2880
45975.23511,2880
15289.57149,2880
40630.72832,2880
18463.47308,2880
6119.335294,2880
31941.65681,2880
23834.83814,2880
22819.93446,2880
13088.74151,2880
25501.85756,2880
28176.66192,2880
22622.30352,2880
21580.57956,2880
34560.65175,2880
3584.226633,160
4049.057185,120
4300.234973,120
2078.316122,120
3580.668925,120
4238.058524,120
3202.751831,120
6753.046451,120
5354.836152,120
3995.522639,120
1737.533055,120
1823.821482,120
5618.762537,120
4208.456849,120
4960.77004,120
604.359229,120
11635.69132,120
2443.805508,120
4748.687539,120
4288.635758,120
2355.609303,120
4307.521735,120
5062.101945,120
4670.149993,120
3681.260924,120
3619.160677,120
402.240416,120
2294.349824,120
5277.158666,120
2474.314319,120
6626.440976,130
15920.06939,140
10853.43685,240
4459.970105,140
2358.053015,150
2396.203775,150
2132.356864,150
3752.150139,150
2992.429545,150
6927.602538,150
5031.789263,150
5643.699667,150
4491.041302,150
2781.15302,150
10403.13337,150
9261.72863,150
4192.740278,150
5605.521042,150
15683.91079,150
10455.38192,150
2946.382344,150
3284.209167,150
5209.607188,150
6461.33931,150
6293.218419,150
4555.813693,150
5244.575845,150
2458.612226,150
7163.281,165
1402.645063,120
2038.63973,120
5998.892634,120
4821.924975,120
6840.040329,120
4005.274464,120
6236.236658,120
3294.148978,120
10389.30038,120
7337.96206,120
5812.7438,120
1530.708022,120
1410.206518,120
1041.256098,120
1721.1847,7.5
11708.9933,150
19518.41279,180
10856.86009,120
34534.85086,3600
21512.77157,3600
41684.30391,3600
26050.82296,3600
29384.06784,3600
24199.29326,3600
45555.45858,3600
13722.50858,3600
30498.60967,3600
9080.546386,3600
27674.29598,3600
4142.722385,150
5785.583899,150
6589.686604,150
15933.36448,150
3741.219226,150
4595.580285,150
34292.53523,150
6391.746569,150
5170.154511,150
4875.397827,150
3438.489096,150
4525.194931,150
4036.884872,150
1669.669622,150
9613.075863,150
13992.94903,2880
643.27841,25
2298.781026,35
704.500823,20
1162.419368,20
417.154485,20
1252.186524,20
379.806838,20
1465.692306,20
1016.771432,20
851.956243,20
338.651466,20
859.172062,20
372.077664,20
100.49515,20
448.418346,20
414.713412,20
587.950289,20
975.848555,20
516.548047,20
465.34858,20
227.28721,20
89.895016,20
421.040669,20
579.074349,20
259.749932,20
891.939606,20
347.853214,20
1583.815385,20
3597.770111,20
6067.516674,20
11768.40212,20
5603.080693,20
11381.3241,20
2280.081638,20
6431.935,20
574.409899,20
832.271382,20
957.953172,20
798.280113,20
1256.537599,20
291.435803,20
1216.877778,20
1093.34753,20
471.474277,20
2082.121385,20
3581.129057,102.5
878.072282,25
10378.44922,100
55576.36053,540
4608.746253,200
15603.60735,200
6859.124305,200
64118.81657,5040
31289.93639,5040
46597.11962,5040
41029.96064,5040
32435.53602,5040
15212.89282,210
3222.734944,210
4056.553751,210
9388.04336,210
5858.550632,210
2797.662231,210
11352.3479,210
3419.141567,210
5073.265649,210
8626.428334,210
6992.850742,210
5626.008929,210
64698.66557,210
35089.00364,210
8425.969103,210
5804.666811,210
5202.24658,210
33217.85311,4320
46258.31634,4320
45641.02679,4320
41613.64225,4320
17462.07339,4320
44224.98397,4320
4102.527376,4320
19733.6682,4320
16551.33118,4320
40119.91518,4320
25306.53165,4320
45641.02679,4320
29930.0888,4320
28489.1932,4320
45410.00684,4320
6103.025764,180
6444.065441,180
6032.525777,180
1799.642283,180
2252.231112,180
17562.7012,180
7945.422393,180
6615.106948,180
6844.789438,180
6381.780252,180
1873.107038,180
4833.243419,180
3195.585901,180
3632.311888,180
7395.488266,180
3217.853171,180
25573.05377,180
11208.485,180
8363.090536,180
5185.441629,180
7757.580872,210
4694.175046,210
6755.041061,210
9343.511162,210
3965.725559,210
7876.351051,210
7091.349772,210
9121.186234,210
4562.345007,210
3306.388705,210
4206.429489,210
5487.000645,180
4112.017564,180
15835.97455,180
4627.250988,180
5896.98807,180
3033.862384,180
5697.872517,180
5878.248156,180
4905.811063,180
6748.889579,180
1151.120832,180
2849.757728,180
3039.152668,180
2338.225179,180
4330.657313,180
5345.122932,180
7882.276376,180
18282.31643,180
60211.4503,5040
9080.546386,5040
47147.35256,5040
42616.78164,5040
45479.92851,5040
17522.26612,5040
32189.20895,5040
10106.14908,210
4930.748322,210
8296.727692,210
50620.79428,210
65134.84337,210
7094.916432,210
20104.45271,210
5324.4391,210
2711.532018,210
2249.252265,40
914.840154,30
608.574408,30
14964.48335,30
710.599218,30
494.696087,30
5469.349914,30
1350.7861,30
552.552702,30
1117.042356,30
2108.03821,30
993.345742,30
565.430542,30
1141.356448,30
590.252202,30
739.866102,30
589.537909,30
719.681471,30
487.723217,30
1106.282421,30
1424.112756,30
409.910677,30
779.299534,30
740.686476,30
316.659793,30
475.368881,30
285.522422,30
751.362302,30
5128.947229,30
616.800351,30
1155.619453,30
1546.008173,30
12591.30799,30
169.014441,30
1377.753308,30
1219.94637,30
744.428672,30
1506.17244,30
751.294505,30
1394.428578,30
1931.956641,30
665.076063,30
8068.935535,30
3358.733709,30
4305.382387,30
5060.519948,30
622.142677,30
1023.483485,30
1196.371604,30
523.218317,30
368.775096,30
386.158043,30
70.688113,30
804.246344,30
4692.15523,30
3177.238835,30
92893.99727,6480
56862.51275,6480
26891.52866,6480
64823.67753,6480
65134.84337,6480
45151.34487,6480
43559.08022,6480
2966.500096,270
9922.033971,270
4720.027796,270
7943.397617,270
5976.806982,270
15898.97454,270
10414.32102,270
5731.120804,270
12280.30351,270
6795.572896,270
71926.56678,7200
70247.81711,7200
57976.85323,7200
85782.09269,7200
10723.18039,300
7228.876914,300
8407.944413,300
8606.679683,300
8877.984689,300
5073.265649,300
8617.298125,300
84545.6959,7920
64475.79228,5760
29961.84823,5760
53855.50795,5760
18119.66698,5760
5020.465194,240
15962.11912,240
4499.005844,240
2505.452773,240
7506.947907,240
7240.026853,240
10076.01077,240
3330.867075,240
11751.04192,240
2558.600217,240
12327.64082,240
9472.036487,240
8639.90388,240
48400.79337,240
8241.54867,270
6373.731502,270
11099.87703,270
21303.13408,270
22119.96399,270
4832.004755,270
11431.99364,270
6546.7839,240
16597.71381,240
8787.832964,240
3075.526539,240
6285.486002,240
4521.378161,240
9926.516904,240
70946.0483,6480
84653.26536,6480
6300.462291,270
13122.5973,270
22545.15703,270
4295.590365,300
5157.016486,300
26952.75935,300
8630.909856,300
15536.58578,300
14868.58282,300
8336.147289,300
5926.838445,45
3332.445698,50
1368.376805,40
1807.070041,40
2028.361376,40
1005.548485,40
1067.392715,40
2476.067212,40
1520.582841,40
3646.434771,40
7011.897881,40
7792.587138,40
1183.018317,40
2244.825728,40
1042.931191,40
1345.922763,40
1532.179283,40
1735.127961,40
484.783467,40
3482.189873,45
1986.44383,45
955.570483,45
1283.266501,45
512.828967,45
207.061535,45
650.364047,45
2174.668886,45
1693.526664,45
1030.501749,45
4269.919687,45
2123.484631,45
892.519195,45
1100.646989,45
23132.58858,45
5759.623173,45
2709.911463,45
592.948933,45
2612.022193,45
1131.947017,45
1190.301175,45
1816.320526,45
462.922717,45
2658.043846,45
3105.662733,45
8559.994843,45
385.910448,45
1408.041126,45
1100.994072,45
1777.598835,7.5
7310.658091,340
3531.871516,330
8305.9267,330
74534.37081,8640
19048.16548,360
5799.115878,360
7343.304934,360
5406.865769,360
4877.293726,360
62923.73138,7200
13650.04875,300
7033.466636,300
9720.53566,300
9743.614004,300
2525.43211,300
12092.28809,300
3196.471981,300
11591.71309,300
13638.73984,300
3739.400915,320
15362.99521,330
5442.775039,330
17562.7012,330
14470.68136,330
4133.65996,330
7858.156653,330
7933.766109,330
10601.79703,300
4194.092809,300
18213.47197,300
9481.501485,300
5057.79235,300
7930.135037,300
8800.802075,300
5487.9848,300
7458.636545,300
4169.537548,300
7946.474761,300
3609.945148,300
253.340026,5
524.689008,5
151.515708,5
139.071821,5
200.304806,5
10258.28091,5
4774.986697,5
253.663449,5
851.956243,5
125.59567,5
169.623794,5
1291.993521,5
18049.86014,330
6928.415975,330
13848.59773,330
6361.725227,330
2477.083467,330
32787.71623,8640
10578.06316,360
3648.522208,360
7664.465309,360
4256.800389,360
3455.563327,50
3070.054227,50
320.913806,55
18192.86097,360
18298.43003,360
9004.641979,420
19457.4311,420
12250.87705,420
5676.3247,420
12051.86045,420
4713.889658,420
32332.08177,420
17335.07773,420
2721.120865,420
125082.131,10800
19109.83003,360
11147.90657,360
11140.05051,360
13195.61637,360
2602.203777,360
16096.67815,360
12345.70847,360
16301.71772,360
16454.82476,360
8915.38282,360
16480.86178,360
8529.46922,360
7607.803483,360
9030.798372,360
18841.85081,360
2302.309487,420
4847.137714,360
10095.85507,420
25292.67914,450
38885.85769,450
9380.188402,420
3501.13849,420
13865.22966,420
19522.30502,420
13629.42119,450
12034.49501,450
18647.10391,450
15595.85971,420
11737.91407,420
1925.027227,420
16519.88997,420
20540.72752,420
8536.291096,420
17673.36408,420
19096.69508,420
12865.57732,420
11422.09776,540
6282.255202,540
4761.84375,540
17401.63,540
3131.196416,540
8048.44482,540
8075.612675,540
8045.104635,540
7570.157857,480
4395.838145,480
10301.39398,480
4895.490784,480
18033.94445,480
10767.32762,480
11422.56164,480
3425.299664,480
23572.05438,480
7433.465484,480
11762.16636,480
7977.655449,480
62747.805,12960
12956.8928,540
12388.4671,540
4542.668223,540
8198.174005,540
119965.7442,540
15846.51441,540
14533.15561,540
19079.71901,540
18031.48081,540
24559.71717,540
3322.526724,720
13177.35796,2160
1945.604475,60
11587.27367,480
27068.09638,540
