@relation CoreDataSet-Test-weka.filters.unsupervised.attribute.NumericToNominal-R6-weka.filters.unsupervised.attribute.Remove-R1

@attribute difficulty {Easy,Advanced,Intermediate,Easiest,Expert,'Easy,Advanced','Advanced,Expert','Intermediate,Advanced','Easiest,Easy'}
@attribute Shape__Length numeric
@attribute X numeric
@attribute Y numeric
@attribute Class {'?'}

@data
'Easiest,Easy',11381.3241,176.908391,-39.222008,?
Advanced,9080.546386,176.038866,-39.839548,?
Easiest,2906.446714,176.18702,-38.127547,?
Easy,663.448476,171.560953,-42.935233,?
Easy,2612.022193,172.880417,-40.944221,?
Easy,3509.844119,169.344465,-44.120615,?
Easiest,650.364047,170.187392,-46.054188,?
'Advanced,Expert',5594.724404,174.083282,-39.287822,?
Easy,5926.838445,175.852296,-37.606744,?
Advanced,7347.547056,174.798374,-37.868981,?
Easy,1408.041126,174.803131,-36.270877,?
Easy,2462.407093,172.250399,-43.198676,?
Advanced,4562.345007,174.13607,-35.882505,?
Easy,851.956243,173.963922,-35.218832,?
Advanced,462.922717,175.792578,-38.816131,?
Easy,310.083959,174.166833,-35.231833,?
Easy,1401.474524,170.675745,-45.603043,?
'Easiest,Easy',3631.210857,176.877064,-39.301553,?
Easy,4595.580285,174.285901,-35.763588,?
Easiest,740.686476,176.330113,-38.182863,?
Advanced,22946.86094,173.634932,-35.571016,?
Advanced,10455.38192,172.616308,-41.158644,?
Easy,1100.646989,167.492798,-45.543042,?
