@relation CoreDataSet-Train-weka.filters.unsupervised.attribute.NumericToNominal-R5

@attribute difficulty {Easy,Easiest,Advanced,'Easiest,Easy',Intermediate,'Advanced,Expert',Expert,'Intermediate,Advanced','Easy,Advanced','Easy,Expert','Intermediate,Advanced,Expert','Easiest,Advanced','Easiest,Expert'}
@attribute Shape__Length numeric
@attribute X numeric
@attribute Y numeric
@attribute Class {0,1,2}

@data
Easy,2553.998415,174.437713,-35.787241,0
'Advanced,Expert',45410.00684,170.478965,-43.348805,2
Expert,17522.26612,167.513648,-45.02085,2
Advanced,7607.803483,175.067986,-37.938631,1
Easy,405.583912,173.972534,-41.189484,0
Advanced,15933.36448,169.213288,-44.122941,1
Easy,3455.563327,167.704828,-45.438016,0
Expert,2102.553963,170.962,-44.626514,0
Easy,11591.71309,174.229404,-35.216975,1
Advanced,48400.79337,171.058464,-43.53639,1
Easiest,532.198482,173.368882,-35.535505,0
Easy,2596.396968,175.236517,-41.44828,1
Easiest,471.474277,170.703804,-45.781449,0
Easy,643.27841,177.310239,-38.078972,0
Advanced,7260.622087,176.255891,-39.669321,1
Easy,417.154485,-176.352583,-43.799643,0
Easy,2132.356864,170.578812,-45.806186,1
Easy,3438.489096,171.40168,-42.62704,1
Easiest,1016.771432,172.616985,-41.690615,0
'Advanced,Expert',1546.008173,169.794086,-44.363869,1
Easy,3456.269258,174.475884,-35.861832,0
Expert,8290.61593,174.914164,-36.782432,1
Advanced,3070.054227,174.990159,-36.777342,0
Advanced,7343.304934,177.160335,-38.783183,1
Easiest,414.713412,175.875008,-38.934073,0
Easy,2244.825728,175.154322,-37.609306,0
Easy,6927.602538,177.700047,-38.468699,1
Advanced,9720.53566,169.340352,-44.945739,1
Easy,2717.697436,173.850628,-34.994486,0
Advanced,34817.02606,169.513451,-44.358808,2
Easy,2444.081838,168.720757,-45.319567,0
Advanced,78581.5092,176.207756,-39.031802,2
Easy,1735.127961,167.387268,-45.991931,0
Advanced,17462.07339,176.025746,-39.990731,2
Easy,2458.612226,175.540827,-37.026124,1
Advanced,5799.115878,176.008781,-40.05338,1
Advanced,2415.457998,175.243478,-38.534205,0
Advanced,10853.43685,172.692975,-41.129359,1
Easy,512.828967,167.823678,-45.200974,0
Easiest,151.515708,174.86266,-38.255394,0
Easy,5469.349914,174.930317,-41.348952,0
Easy,3001.665476,176.497785,-38.03409,0
'Intermediate,Advanced',15365.14878,168.66593,-44.463917,1
Easy,1929.69533,175.799053,-36.833353,0
Advanced,5998.892634,175.958477,-37.781054,1
Easy,1742.938067,176.189416,-38.124013,1
Expert,2306.367613,169.624462,-44.378172,0
Advanced,16301.71772,168.665947,-44.464451,1
Easiest,1816.320526,176.829948,-39.548584,0
Easy,4897.245761,168.566842,-45.004504,1
Easiest,253.340026,170.699755,-45.874304,0
Advanced,40119.91518,175.263644,-40.974617,2
Easy,8639.90388,176.697858,-38.697279,1
Easiest,878.072282,175.061885,-37.293299,0
Easiest,2068.743095,173.53142,-35.613681,1
Advanced,4112.017564,170.064188,-44.12643,1
Easy,10076.01077,171.134158,-42.842884,1
Easiest,1331.310221,175.724228,-37.427025,0
Easy,751.294505,171.30187,-43.626941,0
Easiest,2082.121385,174.823378,-37.825896,0
Advanced,1151.120832,167.170034,-45.478922,1
Intermediate,11635.69132,173.703324,-35.235466,1
Easy,348.833726,174.111633,-35.284448,0
Advanced,12345.70847,175.42479,-36.215681,1
Easiest,1093.34753,175.715037,-36.833084,0
Easy,1243.332956,170.356162,-44.64319,0
Easiest,4305.382387,176.212247,-38.765627,0
'Easy,Advanced',8068.935535,173.596344,-35.794549,0
Advanced,19733.6682,176.057282,-39.926985,2
Easiest,1500.968132,169.437736,-46.579576,0
'Intermediate,Advanced',27674.29598,172.78462,-43.71553,2
Easiest,3597.770111,171.526574,-42.401569,1
Easy,1334.950782,174.083392,-35.289015,0
Expert,7337.96206,168.057576,-45.040664,1
'Easiest,Easy',1669.669622,173.442189,-35.530217,1
Advanced,22265.33349,175.381654,-37.382692,1
Easy,5618.762537,175.356552,-36.477376,1
Advanced,2456.580522,176.020756,-40.113454,1
Advanced,385.910448,167.381015,-45.747309,0
Expert,6119.335294,170.464692,-43.244978,2
Easy,9112.758816,170.053052,-44.551721,1
Easy,665.076063,173.749879,-35.048392,0
Easy,1967.638846,174.936556,-41.343213,1
Easiest,276.577581,173.830112,-42.244223,0
Intermediate,8911.418456,175.782018,-37.499009,1
Advanced,4395.838145,174.317971,-35.185072,1
Easy,1887.201153,174.972767,-39.274488,0
Advanced,8915.38282,174.625903,-38.922361,1
Easiest,259.749932,170.331346,-43.160405,0
Easy,100.49515,167.928178,-44.672785,0
Intermediate,64475.79228,168.258736,-44.880563,2
Easy,8630.909856,172.06973,-43.253408,1
'Easy,Expert',23132.58858,173.597341,-42.297216,0
Easy,291.435803,173.975779,-36.058133,0
'Intermediate,Advanced,Expert',57544.15386,167.242204,-46.242701,1
Easiest,685.077638,171.324149,-42.434374,0
Easy,3482.189873,173.977597,-35.131336,0
Easy,3493.115493,175.093954,-38.260969,1
Advanced,64118.81657,169.056419,-44.21126,2
Intermediate,65134.84337,174.087409,-41.196532,2
Easiest,200.304806,176.215495,-38.401156,0
Advanced,8349.120626,173.321306,-41.567918,1
Advanced,12327.64082,174.747782,-39.521372,1
Advanced,379.806838,175.928506,-37.870343,0
Easy,1830.543523,170.201516,-43.387143,0
Easy,7182.795558,168.801464,-44.979611,1
Advanced,3219.655421,170.608004,-45.894094,0
Advanced,5731.120804,169.31935,-44.176629,1
Easy,6840.040329,172.656538,-41.106955,1
Easy,1873.107038,170.250498,-45.844638,1
Advanced,18841.85081,174.960026,-41.325223,1
Intermediate,34292.53523,168.181496,-44.760314,2
Intermediate,3195.585901,168.119366,-44.816882,1
Easy,7094.916432,174.818434,-41.146908,1
Easiest,941.320741,174.979872,-38.072686,1
Easiest,710.599218,176.296638,-39.93176,0
Expert,32787.71623,172.571301,-40.94437,2
'Easiest,Advanced',5759.623173,175.431561,-36.208121,0
Advanced,4102.527376,176.045401,-39.754815,2
Easy,4520.67917,175.44973,-40.902876,0
Advanced,32435.53602,168.903288,-44.776573,2
Expert,11751.04192,171.387958,-42.265246,1
Easy,1747.25978,174.352711,-35.928459,1
Advanced,14064.61602,169.026098,-45.538959,1
Easy,1310.65534,175.968814,-38.883153,0
Advanced,14470.68136,168.665947,-44.464451,1
'Easiest,Easy',11768.40212,174.890259,-36.599845,0
Advanced,12803.32642,175.526895,-40.551229,1
Expert,7858.156653,176.153181,-37.971362,1
Intermediate,6461.33931,172.781446,-41.836658,1
Easiest,589.537909,178.100482,-38.664463,0
Easiest,970.70192,175.137101,-37.662708,0
Intermediate,45641.02679,167.375506,-46.184771,2
'Easiest,Advanced',4692.15523,169.810247,-44.870071,0
Easiest,608.574408,167.923959,-44.671518,0
Expert,8075.612675,175.388984,-36.095533,1
'Advanced,Expert',57976.85323,172.36222,-41.405752,2
Easy,8877.984689,168.322133,-44.950084,1
Easiest,3332.445698,170.089683,-45.57107,0
Easy,8800.802075,177.008223,-39.639904,1
Easy,2249.252265,175.897619,-38.910774,0
Easy,2849.757728,174.56917,-35.848761,1
Easy,7011.897881,171.784903,-41.733391,0
Easiest,347.853214,170.029211,-43.492498,0
Easy,811.209813,170.455389,-45.920678,0
Advanced,2558.600217,168.131192,-44.804848,1
Advanced,5785.583899,176.286056,-39.488808,1
Intermediate,25306.53165,168.061376,-46.873639,2
Advanced,4330.657313,168.044259,-44.894573,1
Easiest,70.688113,175.547135,-36.83206,0
Easy,1216.877778,170.964872,-44.698519,0
Easy,3351.968953,174.281651,-35.253694,0
Advanced,41684.30391,175.402013,-36.212791,2
Advanced,4895.490784,168.923108,-45.066618,1
Easy,2294.349824,173.74911,-35.253707,1
Easiest,2476.067212,173.502319,-34.989664,0
'Easiest,Expert',4490.586857,170.112076,-44.14603,1
Advanced,20543.11825,175.04735,-41.318675,2
Easy,7792.587138,175.222478,-40.882574,0
Easiest,372.077664,174.849178,-38.260527,0
Easy,4399.689845,169.161575,-44.692078,0
Advanced,3647.234821,170.869203,-44.433313,1
Easy,7240.026853,168.72013,-45.062914,1
Easy,2629.400057,176.014874,-38.736196,0
Expert,11802.6525,171.545676,-42.944997,2
Easy,2104.215157,175.961235,-38.697811,0
Easy,2485.150805,170.187288,-43.393405,0
Advanced,3075.526539,167.368851,-45.984107,1
Easy,8425.969103,175.80254,-40.324942,1
Advanced,56862.51275,168.064625,-44.517842,2
Easy,574.409899,177.721894,-38.990582,0
'Advanced,Expert',31680.65758,171.692142,-43.095396,2
Easy,2252.231112,168.463712,-44.727909,1
Easy,2690.014668,171.179872,-43.983654,0
Advanced,10723.18039,168.686902,-44.818458,1
Advanced,2338.225179,168.030284,-44.906264,1
Easy,5060.519948,169.357478,-45.246475,0
Advanced,7458.636545,172.821264,-41.827155,1
Advanced,65134.84337,174.087409,-41.196532,2
Expert,7977.655449,173.572182,-41.463808,1
Advanced,15536.58578,172.258608,-43.183109,1
Intermediate,592.948933,173.733009,-35.013562,0
Easiest,432.157044,176.283287,-39.964954,0
Advanced,85782.09269,167.88232,-46.957926,2
Easiest,859.172062,174.900665,-38.260264,0
Easiest,609.422979,171.018026,-42.955987,0
Easiest,89.895016,175.571237,-36.989997,0
Expert,3425.299664,169.997663,-43.490873,1
Easy,11352.3479,175.715266,-38.709368,1
Easy,955.570483,170.668048,-45.639454,0
Easy,552.552702,168.126725,-44.695017,0
Easy,3217.853171,178.040014,-38.640642,1
Advanced,15962.11912,176.246676,-37.800157,1
Easiest,265.195776,174.205583,-36.101686,0
Easy,2280.081638,175.82144,-39.151577,0
Easy,3420.027343,169.146338,-45.077094,0
Easy,6626.440976,170.93277,-42.783596,1
Expert,74534.37081,175.844804,-37.648575,2
Advanced,1131.947017,176.298653,-37.949059,0
Advanced,2443.805508,177.796562,-38.981836,1
'Advanced,Expert',4206.429489,169.585198,-44.217976,1
Expert,4310.939605,168.103373,-44.701088,1
Expert,29384.06784,171.656449,-42.931492,2
Advanced,2829.035645,175.912385,-37.892557,0
Expert,16597.71381,168.588517,-43.999231,1
Easy,892.519195,171.348145,-42.553648,0
Easy,622.142677,167.63541,-45.866411,0
Easiest,1183.018317,176.857532,-39.431491,0
Advanced,62923.73138,172.491736,-42.391936,2
Easy,3107.470063,170.959645,-44.666907,0
Easiest,225.475259,171.192469,-42.647555,0
Advanced,18213.47197,170.624913,-43.653471,1
Easiest,1162.419368,176.456091,-38.248426,0
Advanced,8787.832964,175.841868,-37.506957,1
Easy,4191.582229,176.007524,-39.897251,1
Easy,3027.133188,176.883435,-39.481932,0
Easy,1524.476394,173.302923,-42.864929,1
Advanced,4525.194931,173.71706,-35.20065,1
Advanced,62747.805,167.081145,-45.674902,2
Advanced,21858.26064,169.072869,-44.722126,2
Easy,7946.474761,172.831571,-41.844048,1
Advanced,15279.22086,175.388671,-36.192375,1
Advanced,70247.81711,175.62808,-39.290129,2
Easy,1532.179283,167.536451,-45.775989,0
Advanced,15962.11912,176.246676,-37.800157,0
Expert,45151.34487,171.344016,-42.949539,2
Easy,587.950289,168.66641,-44.983279,0
Easy,2165.982885,176.726126,-38.669068,0
Intermediate,9030.798372,174.796649,-38.414508,1
Easy,732.428721,-176.572908,-43.761778,0
Advanced,8606.679683,168.125902,-44.661294,1
Easiest,1256.537599,173.532676,-35.608515,0
Advanced,27068.09638,169.812219,-44.029851,1
Easy,1100.994072,169.211242,-44.673502,0
Easiest,3579.641885,169.970114,-43.446986,0
Easy,742.12362,170.64844,-45.755952,1
Easiest,1004.34956,177.959861,-38.596339,0
Expert,64823.67753,172.542632,-42.278661,2
Easy,4608.746253,175.393707,-36.182334,1
Expert,7930.135037,172.697672,-40.839063,1
Intermediate,46258.31634,175.351379,-40.983707,2
Easy,514.51369,174.11677,-35.254812,0
Easy,432.05117,174.11984,-35.243857,0
Easy,4269.919687,172.678059,-34.445827,0
Expert,3619.967098,168.073669,-44.830172,1
Advanced,3539.196513,175.25778,-38.070711,1
Advanced,13195.61637,177.136749,-38.730047,1
'Easy,Advanced',14964.48335,168.850456,-46.059176,0
Easy,1306.951378,174.045518,-35.191977,0
Advanced,6546.7839,170.087253,-43.719166,1
Easy,2474.314319,175.637194,-40.725553,1
Easy,587.172263,174.134748,-35.892819,0
Advanced,3322.526724,174.1196,-41.08683,2
Easiest,465.34858,173.084357,-34.72311,0
Easy,9472.036487,173.384294,-35.565968,1
Easy,3432.070434,175.771202,-37.317907,0
Easy,4399.801591,175.736485,-37.427996,0
Easy,208.282912,173.380355,-34.967306,0
Easy,2847.839102,168.547065,-45.055855,0
Advanced,12591.30799,175.454245,-36.158891,0
Easy,20367.52221,174.041496,-41.368748,1
Advanced,4499.005844,175.854721,-37.503661,1
Easy,2709.911463,168.389411,-44.775691,0
Expert,2038.63973,169.683398,-44.412967,1
Easy,832.271382,175.123615,-38.26222,0
Advanced,50184.49056,175.059448,-39.207301,2
Easy,672.52097,175.66148,-38.648026,0
Easy,891.939606,174.283623,-35.587617,0
Easy,1945.604475,174.85517,-36.807931,0
Easy,11431.99364,175.384587,-39.375137,1
Advanced,20104.45271,168.816888,-44.437913,1
Advanced,26806.8167,175.078202,-37.95829,1
Easy,2396.203775,178.326936,-38.382781,1
Intermediate,53855.50795,167.78562,-44.813536,2
Advanced,2298.781026,175.078562,-37.773522,0
Advanced,11708.9933,170.163001,-43.821644,1
Easy,744.428672,174.273644,-41.095483,0
Easy,3408.967142,-176.555991,-43.852168,0
Advanced,2529.837539,174.715042,-36.307139,1
'Advanced,Expert',92893.99727,174.093759,-39.272137,2
Advanced,8241.54867,170.039213,-45.918746,1
Easy,4036.884872,174.193144,-35.221681,1
Advanced,84653.26536,168.46721,-44.693572,2
'Advanced,Expert',42616.78164,171.247095,-42.947594,2
Advanced,2123.484631,173.738291,-35.21557,0
Easy,22119.96399,175.933437,-38.685913,1
Easy,274.102216,169.410963,-44.935836,0
Advanced,8407.944413,169.450396,-44.90708,1
Easy,1252.186524,175.90823,-40.081266,0
Easy,1093.080581,173.958973,-35.220341,0
Intermediate,19096.69508,175.581001,-39.144497,1
Advanced,16480.86178,169.636091,-44.185669,1
Easiest,1693.526664,174.043296,-39.103996,0
Advanced,8045.104635,175.486059,-40.856753,1
Advanced,2966.500096,167.48035,-45.74513,1
Easiest,631.219432,175.10037,-39.913177,0
Easy,3406.462739,175.549911,-39.072149,1
Easiest,704.500823,172.401476,-42.379524,0
Easy,1313.942264,174.936643,-41.345646,0
Advanced,12865.57732,174.082699,-39.327664,1
Advanced,6753.046451,170.329615,-44.206423,1
Expert,3039.152668,171.49161,-43.317707,1
Easy,1591.144955,176.69384,-38.672906,1
Advanced,10106.14908,169.127172,-45.083619,1
Easiest,590.252202,170.024125,-43.484636,0
Easy,2784.630441,168.57986,-45.063077,0
Advanced,10767.32762,172.079779,-43.240606,1
Easy,8559.994843,175.746021,-37.418859,0
Advanced,4875.397827,167.983534,-45.141192,1
Advanced,7433.465484,174.74854,-38.430299,1
Easy,7163.281,170.423406,-43.0411,1
Advanced,7085.177978,175.13364,-37.975785,1
Advanced,11762.16636,173.692537,-41.425915,1
Easy,957.953172,176.550367,-38.044985,0
Easy,2575.691201,170.170762,-43.43359,1
Easy,5643.699667,177.596603,-38.239478,1
Advanced,22504.97753,171.378207,-42.289944,1
'Advanced,Expert',34534.85086,172.784208,-41.853425,2
Advanced,16551.33118,176.077568,-39.939897,2
Advanced,9829.441473,174.118033,-35.868631,1
Easy,1112.902843,170.588759,-45.757727,0
Advanced,13638.73984,173.864391,-41.349568,1
Advanced,15212.89282,170.644062,-43.77832,1
