@relation CoreDataSet-Train-weka.filters.unsupervised.attribute.NumericToNominal-R6_predicted

@attribute Id numeric
@attribute difficulty {Easy,Easiest,Advanced,'Easiest,Easy',Intermediate,'Advanced,Expert',Expert,'Intermediate,Advanced','Easy,Advanced','Easy,Expert','Intermediate,Advanced,Expert','Easiest,Advanced','Easiest,Expert'}
@attribute Shape__Length numeric
@attribute X numeric
@attribute Y numeric
@attribute 'prediction margin' numeric
@attribute 'predicted Class' {0,1,2}
@attribute Class {0,1,2}

@data
448,Advanced,70946.0483,171.999315,-42.700458,-0.997702,2,?
449,Easiest,1465.692306,176.816969,-39.919087,0.914788,0,?
450,Easy,1637.199197,170.178554,-43.415841,-0.099476,1,?
451,Expert,8198.174005,172.557407,-40.640089,-0.996785,1,?
452,Intermediate,11140.05051,168.145,-44.80218,-0.999094,1,?
453,Advanced,1691.394418,167.146088,-45.469043,-0.998503,1,?
454,Advanced,119965.7442,167.910611,-46.867313,-0.95964,2,?
455,'Advanced,Expert',15759.75604,172.563669,-41.523287,-0.636002,1,?
456,Easiest,125.59567,173.527402,-35.600637,0.973748,0,?
457,Advanced,5020.465194,175.859234,-37.517284,-0.651349,1,?
458,Intermediate,9613.075863,167.683892,-45.46797,-0.999305,1,?
459,Easy,320.913806,174.128407,-35.893382,0.905142,0,?
460,Expert,8529.46922,172.660372,-41.128209,-0.996961,1,?
461,Easiest,1207.195197,175.148006,-37.967949,0.911565,0,?
462,Easy,139.071821,174.39006,-36.06467,0.89344,0,?
463,Easy,5244.575845,174.425522,-35.452395,0.887063,0,?
464,Easiest,813.033133,171.74313,-43.19644,0.929312,0,?
465,Advanced,33217.85311,169.253212,-43.823288,-0.780608,1,?
466,Advanced,13088.74151,176.026215,-39.899844,-0.903279,1,?
467,Advanced,7228.876914,169.477881,-44.912381,-0.995397,1,?
468,Easy,6431.935,168.527468,-45.073321,-0.471387,1,?
469,Advanced,2781.15302,176.040985,-39.841008,-0.962163,1,?
470,Advanced,6236.236658,177.395565,-38.149268,-0.85579,1,?
471,Advanced,13650.04875,175.381562,-36.20442,-0.538174,1,?
472,Advanced,6285.486002,175.257033,-41.065776,-0.95037,1,?
473,'Advanced,Expert',43559.08022,171.136274,-42.984627,-0.992872,2,?
474,Easy,1583.815385,175.524361,-39.964676,0.259214,0,?
475,Easy,6037.848708,171.438802,-42.263274,-0.567353,1,?
476,Easy,1799.642283,175.133215,-37.663555,0.498092,0,?
477,Easy,3105.662733,175.754709,-38.908394,0.187992,0,?
478,Intermediate,45479.92851,175.624558,-39.145811,-0.995874,2,?
479,Advanced,50620.79428,172.678597,-40.92487,-0.996549,2,?
480,Easiest,753.804929,169.276287,-44.164198,0.851312,0,?
481,Advanced,1653.258903,173.412972,-34.821654,-0.286098,1,?
482,Easy,1807.070041,174.090957,-35.168355,0.928798,0,?
483,Advanced,44224.98397,177.150494,-38.709237,-0.972608,2,?
484,Expert,10601.79703,172.330205,-43.160646,-0.997957,1,?
485,Advanced,3033.862384,173.813677,-35.750773,-0.417406,1,?
486,Easy,2358.053015,174.133563,-35.887947,0.890836,0,?
487,Advanced,3084.982809,168.331068,-44.824082,-0.996075,1,?
488,Expert,31289.93639,171.436891,-42.887466,-0.657306,1,?
489,Advanced,29961.84823,168.241175,-45.023962,-0.967315,1,?
490,Advanced,2161.883617,175.877947,-40.18708,-0.977801,1,?
491,Easiest,579.074349,175.763331,-38.967902,0.83156,0,?
492,Advanced,84545.6959,172.806165,-41.916447,-0.997841,2,?
493,Expert,26891.52866,173.121352,-41.941561,-0.994321,1,?
494,Advanced,11147.90657,175.908494,-37.760512,-0.892708,1,?
495,Easiest,1030.501749,175.077463,-38.265829,0.880093,0,?
496,Easiest,1283.266501,168.082844,-44.893674,0.786691,0,?
497,Advanced,905.259396,168.710589,-45.326534,-0.998224,1,?
498,Advanced,7570.157857,170.158842,-43.41486,-0.968526,1,?
499,'Intermediate,Advanced',10064.11416,168.421033,-44.851525,-0.999441,1,?
500,Easy,2505.452773,176.672925,-38.681779,0.256826,0,?
501,'Easiest,Easy',11381.3241,176.908391,-39.222008,0.078912,0,?
502,Advanced,9080.546386,176.038866,-39.839548,-0.959368,1,?
503,Easiest,2906.446714,176.18702,-38.127547,0.920333,0,?
504,Easy,663.448476,171.560953,-42.935233,-0.140608,1,?
505,Easy,2612.022193,172.880417,-40.944221,-0.013462,1,?
506,Easy,3509.844119,169.344465,-44.120615,-0.723648,1,?
507,Easiest,650.364047,170.187392,-46.054188,0.708393,0,?
508,'Advanced,Expert',5594.724404,174.083282,-39.287822,-0.953157,1,?
509,Easy,5926.838445,175.852296,-37.606744,0.383149,0,?
510,Advanced,7347.547056,174.798374,-37.868981,-0.933674,1,?
511,Easy,1408.041126,174.803131,-36.270877,0.879066,0,?
512,Easy,2462.407093,172.250399,-43.198676,-0.577584,1,?
513,Advanced,4562.345007,174.13607,-35.882505,-0.593161,1,?
514,Easy,851.956243,173.963922,-35.218832,0.931966,0,?
515,Advanced,462.922717,175.792578,-38.816131,-0.972657,1,?
516,Easy,310.083959,174.166833,-35.231833,0.934225,0,?
517,Easy,1401.474524,170.675745,-45.603043,-0.401345,1,?
518,'Easiest,Easy',3631.210857,176.877064,-39.301553,0.002045,0,?
519,Easy,4595.580285,174.285901,-35.763588,0.899555,0,?
520,Easiest,740.686476,176.330113,-38.182863,0.860555,0,?
521,Advanced,22946.86094,173.634932,-35.571016,-0.644935,1,?
522,Advanced,10455.38192,172.616308,-41.158644,-0.958579,1,?
523,Easy,1100.646989,167.492798,-45.543042,-0.405564,1,?
