@relation CoreDataSet-Train-weka.filters.unsupervised.attribute.NumericToNominal-R6-weka.filters.unsupervised.attribute.Remove-R1_predicted

@attribute difficulty {Easy,Easiest,Advanced,'Easiest,Easy',Intermediate,'Advanced,Expert',Expert,'Intermediate,Advanced','Easy,Advanced','Easy,Expert','Intermediate,Advanced,Expert','Easiest,Advanced','Easiest,Expert'}
@attribute Shape__Length numeric
@attribute X numeric
@attribute Y numeric
@attribute 'prediction margin' numeric
@attribute 'predicted Class' {0,1,2}
@attribute Class {0,1,2}

@data
'Advanced,Expert',29930.0888,169.939487,-43.623806,-0.942407,2,?
Advanced,12069.2054,170.471237,-43.991443,-0.913454,1,?
Easiest,879.934023,175.816657,-40.339706,0.900151,0,?
Advanced,15683.91079,174.963064,-41.323389,-0.735991,1,?
Advanced,41613.64225,172.934918,-40.912858,-0.9618,2,?
Advanced,70946.0483,171.999315,-42.700458,-0.999929,2,?
Easiest,1465.692306,176.816969,-39.919087,0.870515,0,?
Easy,1637.199197,170.178554,-43.415841,0.514803,0,?
Expert,8198.174005,172.557407,-40.640089,-0.832457,1,?
Intermediate,11140.05051,168.145,-44.80218,-0.911497,1,?
Advanced,1691.394418,167.146088,-45.469043,-0.16845,1,?
Advanced,119965.7442,167.910611,-46.867313,-1,2,?
'Advanced,Expert',15759.75604,172.563669,-41.523287,-0.538013,2,?
Easiest,125.59567,173.527402,-35.600637,0.95145,0,?
Advanced,5020.465194,175.859234,-37.517284,-0.696434,1,?
Intermediate,9613.075863,167.683892,-45.46797,-0.907342,1,?
Easy,320.913806,174.128407,-35.893382,0.739695,0,?
Expert,8529.46922,172.660372,-41.128209,-0.811102,1,?
Easiest,1207.195197,175.148006,-37.967949,0.905367,0,?
Easy,139.071821,174.39006,-36.06467,0.750196,0,?
Easy,5244.575845,174.425522,-35.452395,-0.051418,1,?
Easiest,813.033133,171.74313,-43.19644,0.909541,0,?
Advanced,33217.85311,169.253212,-43.823288,-0.759265,2,?
Advanced,13088.74151,176.026215,-39.899844,-0.837189,1,?
Advanced,7228.876914,169.477881,-44.912381,-0.854131,1,?
Easy,6431.935,168.527468,-45.073321,-0.387788,1,?
Advanced,2781.15302,176.040985,-39.841008,-0.451399,1,?
Advanced,6236.236658,177.395565,-38.149268,-0.80205,1,?
Advanced,13650.04875,175.381562,-36.20442,-0.956164,1,?
Advanced,6285.486002,175.257033,-41.065776,-0.802004,1,?
'Advanced,Expert',43559.08022,171.136274,-42.984627,-0.997043,2,?
Easy,1583.815385,175.524361,-39.964676,0.478081,0,?
Easy,6037.848708,171.438802,-42.263274,-0.320509,1,?
Easy,1799.642283,175.133215,-37.663555,0.508606,0,?
Easy,3105.662733,175.754709,-38.908394,0.23134,0,?
Intermediate,45479.92851,175.624558,-39.145811,-0.994713,2,?
Advanced,50620.79428,172.678597,-40.92487,-0.993038,2,?
Easiest,753.804929,169.276287,-44.164198,0.91921,0,?
Advanced,1653.258903,173.412972,-34.821654,-0.025999,1,?
Easy,1807.070041,174.090957,-35.168355,0.585012,0,?
Advanced,44224.98397,177.150494,-38.709237,-0.990428,2,?
Expert,10601.79703,172.330205,-43.160646,-0.654189,1,?
Advanced,3033.862384,173.813677,-35.750773,-0.335668,1,?
Easy,2358.053015,174.133563,-35.887947,0.48817,0,?
Advanced,3084.982809,168.331068,-44.824082,-0.437721,1,?
Expert,31289.93639,171.436891,-42.887466,-0.954082,2,?
Advanced,29961.84823,168.241175,-45.023962,-0.633828,2,?
Advanced,2161.883617,175.877947,-40.18708,-0.353162,1,?
Easiest,579.074349,175.763331,-38.967902,0.918449,0,?
Advanced,84545.6959,172.806165,-41.916447,-0.999996,2,?
Expert,26891.52866,173.121352,-41.941561,-0.921386,2,?
Advanced,11147.90657,175.908494,-37.760512,-0.928044,1,?
Easiest,1030.501749,175.077463,-38.265829,0.91046,0,?
Easiest,1283.266501,168.082844,-44.893674,0.903378,0,?
Advanced,905.259396,168.710589,-45.326534,-0.054158,1,?
Advanced,7570.157857,170.158842,-43.41486,-0.868573,1,?
'Intermediate,Advanced',10064.11416,168.421033,-44.851525,-0.952603,1,?
Easy,2505.452773,176.672925,-38.681779,0.324287,0,?
'Easiest,Easy',11381.3241,176.908391,-39.222008,-0.621472,1,?
Advanced,9080.546386,176.038866,-39.839548,-0.877547,1,?
Easiest,2906.446714,176.18702,-38.127547,0.806378,0,?
Easy,663.448476,171.560953,-42.935233,0.629055,0,?
Easy,2612.022193,172.880417,-40.944221,0.347675,0,?
Easy,3509.844119,169.344465,-44.120615,0.188556,0,?
Easiest,650.364047,170.187392,-46.054188,0.908253,0,?
'Advanced,Expert',5594.724404,174.083282,-39.287822,-0.899914,1,?
Easy,5926.838445,175.852296,-37.606744,-0.293353,1,?
Advanced,7347.547056,174.798374,-37.868981,-0.857033,1,?
Easy,1408.041126,174.803131,-36.270877,0.601044,0,?
Easy,2462.407093,172.250399,-43.198676,0.329657,0,?
Advanced,4562.345007,174.13607,-35.882505,-0.58767,1,?
Easy,851.956243,173.963922,-35.218832,0.700134,0,?
Advanced,462.922717,175.792578,-38.816131,0.01777,0,?
Easy,310.083959,174.166833,-35.231833,0.749363,0,?
Easy,1401.474524,170.675745,-45.603043,0.487762,0,?
'Easiest,Easy',3631.210857,176.877064,-39.301553,0.693304,0,?
Easy,4595.580285,174.285901,-35.763588,0.075579,0,?
Easiest,740.686476,176.330113,-38.182863,0.914247,0,?
Advanced,22946.86094,173.634932,-35.571016,-0.922478,1,?
Advanced,10455.38192,172.616308,-41.158644,-0.925509,1,?
Easy,1100.646989,167.492798,-45.543042,0.602113,0,?
